Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
netflix,11:16 pm · 6 May 2020,John Casey@JohnCas65321006,All of #23HoursToKill a huge disappointment. It’s 2020 & he’s joking abt smartphones & txtng. Funny 6 yrs ago? His bits abt husbands & wives felt stale. Felt like a casino comeback. @netflix - bad time to air a special w mockery of postal workers & people in the service industry.3,0,3,,,#23HoursToKill,@netflix,0,281,
netflix,11:15 pm · 6 May 2020,P r e m i u m @sera_premium,"We are selling...
Netflix
Spotify Premium
Discounted Diamonds in Mobile Legends

Message us to avail!12",0,2,1,,,,0,103,
netflix,11:18 pm · 6 May 2020,KABB FOX 29@KABBFOX29,"Netflix drama 'The Eddy' explores jazz via multiracial ParisNetflix drama 'The Eddy' explores jazz via multiracial ParisRIO RANCHO, N. M. (AP) — Jazz trumpeter Miles Davis wandered along the Seine and felt free. Louis Armstrong sought refuge from the Jim Crow American South at the Hôtel Alba Opéra. Dancer Josephine...foxsanantonio.com1",1,,,1,,,2,337,
netflix,11:06 pm · 6 May 2020,Jesse Tyler Ferguson@jessetyler,"I just found out seasons 1-7 of Modern Family is on Netflix! Let’s get into it from the beginning, mitches!116892.5K",0,2.5K,116,89,,,0,116,
netflix,11:05 pm · 6 May 2020,Queen Maeve @maevesraves,Just watched A Secret Love on Netflix12,0,2,1,,,,0,39,
netflix,10:51 pm · 6 May 2020,Ace@Ace55K,Replying to @Ace55K and @netflixAh yes I’m homophobic becuase I said not every movie/show needs one. I have no issue with LGBTQ people and have utmost respect. Sorry if I offended people.41263,1,63,41,2,,"@Ace55K,@netflix",0,192,
netflix,10:49 pm · 6 May 2020,taeyong@soonsohuang,gain bts mutuals #followtrick gain mutuals followback tiktok doja cat blackpink comeback jennie pink hair rosé lisa jisoo vmin yoonmin taekook au horror au  sub dom porn switch load giveaway netflix premium giveaway bts giveaway load ga2:206K viewsFrom 𝚗𝚊𝚗𝚊¹².⁷𝐃𝐑𝐄𝐀𝐌↺5,1,5,,,#followtrick,,0,268,
netflix,10:45 pm · 6 May 2020,ONLINE@delicatepremium,"MURANG NETFLIX AT SPOTIFY PREMIUM??? MERON TAYO NYAN DITO!!!!

ALSO AVAILABLE DISCOUNTED ML DIAS

KAYA SLIDE TO MY DM NA FOR MORE INFO DUDEPARECHONGTOLBRO!!!!254",1,54,,2,,,0,161,
netflix,10:34 pm · 6 May 2020,Cennet KINACI@cennetkinaci,"Netflix 
beIN Connect 1",0,1,,,,,0,23,
netflix,10:29 pm · 6 May 2020,and i-@chalametsoph,Lady bird has always been available on my netflix. How come you guys don’t have it?69,1,9,6,,,,0,85,
netflix,10:29 pm · 6 May 2020,coatsy44@coatsy44,On this weeks episode of things that make me cry: the documentary Becoming on @netflix thank you for existing @MichelleObama,0,,,,,"@netflix,@MichelleObama",0,124,
netflix,10:26 pm · 6 May 2020,Elizabeth@elizabetttthh_,I’m in love with John b from Outer Banks and I barely started watching it @obxonnetflix @netflix  #OuterbanksNetflix1,0,1,,,#OuterbanksNetflix,"@obxonnetflix,@netflix",0,117,
netflix,10:25 pm · 6 May 2020,JotaE@_jotae_,"Take  @YuYuHakushoFans for us @netflix , please.",0,,,,,"@YuYuHakushoFans,@netflix",0,48,
