Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
MayThe4thBeWithYou,"3:44 AM · May 5, 2019",Jody Houser @Jody_Houser,I celebrated #StarWarsDay by picking up these awesome watercolors by @MonicaKubina during our #FreeComicBookDay signing.  #StarWars #maythe4thbewithyou #Leia #AhsokaTano1428,0,28,1,4,"#StarWarsDay,#FreeComicBookDay,#StarWars,#maythe4thbewithyou,#Leia,#AhsokaTano",@MonicaKubina,0,173
MayThe4thBeWithYou,"3:41 AM · May 5, 2019",Captain Bloodofkirby@bloodofkirby,"#StarWarsDay #MayThe4thBeWithYou #dorman #showcase 

For the tail end of Star Wars day here's Dave Dorman's astounding Crimson Empire cover art.

Some of the best #StarWars art ever put to paper.11026",0,26,1,10,"#StarWarsDay,#MayThe4thBeWithYou,#dorman,#showcase,#StarWars",,0,200
MayThe4thBeWithYou,"2:56 AM · May 5, 2019",Chris Schweizer@schweizercomics,"My FAVORITE Star Wars aesthetic is space cowboy, the purest example of which is Clone War's Cad Bane.
#MayThe4thBeWithYou12788",0,88,1,27,#MayThe4thBeWithYou,,0,126
MayThe4thBeWithYou,"2:55 AM · May 5, 2019",Louis Busch@LouisBusch,"“Would you believe Lisa MacLeod did it again? Another constituent tries for a meeting.” by Patrick Monaghan 

#AutismDoesntEndAtFord #onpoli #cdnpoli #ClearTheWaitlist #ResignLisaMacLeod #onpoli #cdnpoli #NeedsBasedFunding #FreezeGate #maythe4thbewithyou“Would you believe Lisa MacLeod did it again? Another constituent tries for a meeting.”A place where words matterlink.medium.com12124",0,24,1,21,"#AutismDoesntEndAtFord,#onpoli,#cdnpoli,#ClearTheWaitlist,#ResignLisaMacLeod,#onpoli,#cdnpoli,#NeedsBasedFunding,#FreezeGate,#maythe4thbewithyou",,2,387
MayThe4thBeWithYou,"2:52 AM · May 5, 2019",Andrew Chesworth@A_Chesworth,"""I can change him... ""
#Reylo
#starwars #MayThe4thBeWithYou2465",0,65,2,4,"#Reylo,#starwars,#MayThe4thBeWithYou",,0,63
MayThe4thBeWithYou,"2:48 AM · May 5, 2019",♡Jay♡@TheJayleeShow,"#MayThe4thBeWithYou !! It's #StarWarsDay AND #MeetTheStreamers tonight! 

Come hang out with me on #Twitch and meet some amazing #streamers! 

http://twitch.tv/TheJayleeshow

If you do a Star Wars #cosplay tonight, you will be entered for a chance to win an EPIC #giveaway !21224",0,24,2,12,"#MayThe4thBeWithYou,#StarWarsDay,#MeetTheStreamers,#Twitch,#streamers,#cosplay,#giveaway",,1,279
MayThe4thBeWithYou,"2:44 AM · May 5, 2019",StarTalk@StarTalkRadio,How could the Death Star blow up a planet? @NeilTyson and @EugeneMirman have the details... thanks to science. #MayThe4thBeWithYou #StarWarsDay2:0136.4K views51453,1,53,5,14,"#MayThe4thBeWithYou,#StarWarsDay","@NeilTyson,@EugeneMirman",0,163
MayThe4thBeWithYou,"2:41 AM · May 5, 2019",C.M.A. Laitinen@cmalaitinen777,I hope @AlexaBliss_WWE and the #Blissfits had a super Saturday and I wish everybody a most #Blissful night! #MayThe4thBeWithYou1354,0,54,,13,"#Blissfits,#Blissful,#MayThe4thBeWithYou",@AlexaBliss_WWE,0,131
MayThe4thBeWithYou,"2:34 AM · May 5, 2019",Marques Tuiasosopo@therealTUI,What did you do on #NationalStarWarsDay ?  I dressed up as #chewbacca for the little league!  #MayThe4thBeWithYou #winning2284,0,84,2,2,"#NationalStarWarsDay,#chewbacca,#MayThe4thBeWithYou,#winning",,0,126
MayThe4thBeWithYou,"2:14 AM · May 5, 2019",Vimanyu Aggarwal@VimNyu,"It was amazing to see technologies that are bread and butter for lots of Data Engineers, Data Scientists, ML Enthusiasts on a single table. Thank You @NumFOCUS for your good work! #SupportOpenSource #PyCon2019 #MayThe4thBeWithYou Always..21376",0,76,2,13,"#SupportOpenSource,#PyCon2019,#MayThe4thBeWithYou",@NumFOCUS,0,243
MayThe4thBeWithYou,"2:13 AM · May 5, 2019",Deejay@DeejayForte," Happy Star Wars Day! Long live the Empire!

Music: @getblake
#MayThe4thBeWithYou | #StarWarsDay0:16289 views422",1,22,,4,"#MayThe4thBeWithYou,#StarWarsDay",@getblake,0,112
MayThe4thBeWithYou,"2:05 AM · May 5, 2019",Chris Ballinger@ballingerfamily,Look how little he was!  #MayThe4thBeWithYou #MayTheFourthBeWithYou1918986,0,986,19,18,"#MayThe4thBeWithYou,#MayTheFourthBeWithYou",,0,74
MayThe4thBeWithYou,"2:02 AM · May 5, 2019",Justin Trudeau@JustinTrudeau,It’s my favourite day of the year: the Press Gallery Dinner in Ottawa... just kidding. Happy Star Wars day everyone! #Maythe4thBeWithYou4915215.9K,0,5.9K,491,521,#Maythe4thBeWithYou,,0,146
MayThe4thBeWithYou,"1:56 AM · May 5, 2019",Jordan Maison@JordanMaison,"Final #MayThe4thBeWithYou thought (I’m old and tired and going to bed): 

The absolute BEST #StarWars movie/book/show/whatever is whichever piece of media made you fall in love with the galaxy far, far away. Doesn’t matter what it was, it’s exactly what you needed.GIF1641",1,41,1,6,"#MayThe4thBeWithYou,#StarWars",,0,272
MayThe4thBeWithYou,"1:51 AM · May 5, 2019",Lauren @ ACNH hell @noctilums,got a rey study in before the end of #StarWarsDay #MayThe4thBeWithYou234151,0,151,2,34,"#StarWarsDay,#MayThe4thBeWithYou",,0,75
MayThe4thBeWithYou,"1:43 AM · May 5, 2019",Abigael Jaymes@AbigaelKCTV5,We’re down here at Berkley Riverfront where #StarWars fans are working to set a world record for Largest Lightsaber battle! @KCTV5 #MayThe4thBeWithYou0:1811.3K views727164,1,164,7,27,"#StarWars,#MayThe4thBeWithYou",@KCTV5,0,171
